	Family	Source	orthogroup	species
AT1G66550	WRKY	TFDB	16018	arath
AT1G66560	WRKY	TFDB	16018	arath
AT1G66600	WRKY	TFDB	16018	arath
AT1G67100	LBD	TFDB	3863	arath
AT1G67260	TCP	TFDB	2697	arath
AT1G67310	CAMTA	TFDB	3827	arath
AT1G67970	HSF	TFDB	8403	arath
AT1G68120	BBR-BPC	TFDB	32606	arath
AT1G68150	WRKY	TFDB	13959	arath
AT1G68240	bHLH	TFDB	32735	arath
AT1G68510	LBD	TFDB	13865	arath
AT1G68640	bZIP	TFDB	7042	arath
AT1G68800	TCP	TFDB	16008	arath
AT1G68810	bHLH	TFDB	6746	arath
AT1G68880	bZIP	TFDB	32505	arath
AT1G68920	bHLH	TFDB	3875	arath
AT1G69010	bHLH	TFDB	8566	arath
AT1G69170	SBP	TFDB	13951	arath
AT1G69180	YABBY	TFDB	10276	arath
AT1G69310	WRKY	TFDB	8536	arath
AT1G69490	NAC	TFDB	4662	arath
AT1G69570	Dof	TFDB	32680	arath
AT1G69600	ZF-HD	TFDB	18710	arath
AT1G69690	TCP	TFDB	1391	arath
AT1G69810	WRKY	TFDB	31723	arath
AT1G71200	bHLH	TFDB	16034	arath
AT1G71260	Whirly	TFDB	12287	arath
AT1G71930	NAC	TFDB	8370	arath
AT1G72010	TCP	TFDB	2430	arath
AT1G72210	bHLH	TFDB	3864	arath
AT1G72830	NF-YA	TFDB	6875	arath
AT1G72980	LBD	TFDB	17486	arath
AT1G73730	EIL	TFDB	12110	arath
AT1G73830	bHLH	TFDB	3782	arath
AT1G74480	Nin-like	TFDB	10228	arath
AT1G74500	bHLH	TFDB	1669	arath
AT1G74660	ZF-HD	TFDB	1918	arath
AT1G75080	BES1	TFDB	4732	arath
AT1G75240	ZF-HD	TFDB	14832	arath
AT1G75390	bZIP	TFDB	438	arath
AT1G75520	SRS	TFDB	1366	arath
AT1G76320	FAR1	TFDB	20	arath
AT1G76350	Nin-like	TFDB	6929	arath
AT1G76420	NAC	TFDB	8703	arath
AT1G76580	SBP	TFDB	6950	arath
AT1G76870	Trihelix	TFDB	6880	arath
AT1G76880	Trihelix	TFDB	6983	arath
AT1G77450	NAC	TFDB	12398	arath
AT1G77570	HSF	TFDB	32529	arath
AT1G77920	bZIP	TFDB	1097	arath
AT1G78540	STAT	TFDB	7029	arath
AT1G78700	BES1	TFDB	1915	arath
AT1G79580	NAC	TFDB	12131	arath
AT1G80010	FAR1	TFDB	16029	arath
AT1G80590	WRKY	TFDB	16018	arath
AT1G80840	WRKY	TFDB	3176	arath
AT2G01370	GeBP	TFDB	606	arath
AT2G01570	GRAS	TFDB	9580	arath
AT2G01930	BBR-BPC	TFDB	3047	arath
AT2G02450	NAC	TFDB	9546	arath
AT2G02540	ZF-HD	TFDB	5143	arath
AT2G02740	Whirly	TFDB	4374	arath
AT2G03340	WRKY	TFDB	4245	arath
AT2G04038	bZIP	TFDB	833	arath
AT2G04880	WRKY	TFDB	6467	arath
AT2G04890	GRAS	TFDB	30380	arath
AT2G12900	bZIP	TFDB	30328	arath
AT2G12940	bZIP	TFDB	30751	arath
AT2G13150	bZIP	TFDB	30747	arath
AT2G13570	NF-YB	TFDB	13566	arath
AT2G14760	bHLH	TFDB	20896	arath
AT2G16770	bZIP	TFDB	4262	arath
AT2G16910	bHLH	TFDB	4313	arath
AT2G17040	NAC	TFDB	7966	arath
AT2G17150	Nin-like	TFDB	4248	arath
AT2G17770	bZIP	TFDB	3540	arath
AT2G18060	NAC	TFDB	3593	arath
AT2G18120	SRS	TFDB	30518	arath
AT2G18160	bZIP	TFDB	438	arath
AT2G18300	bHLH	TFDB	29967	arath
AT2G18350	ZF-HD	TFDB	5132	arath
AT2G18380	GATA	TFDB	30401	arath
AT2G19510	LBD	TFDB	18611	arath
AT2G19820	LBD	TFDB	18611	arath
AT2G20110	CPP	TFDB	3664	arath
AT2G20180	bHLH	TFDB	2980	arath
AT2G20613	GeBP	TFDB	30373	arath
AT2G21230	bZIP	TFDB	6481	arath
AT2G21240	BBR-BPC	TFDB	5221	arath
AT2G21400	SRS	TFDB	11785	arath
AT2G21900	WRKY	TFDB	30784	arath
AT2G22300	CAMTA	TFDB	6464	arath
AT2G22750	bHLH	TFDB	339	arath
AT2G22760	bHLH	TFDB	339	arath
AT2G22770	bHLH	TFDB	339	arath
AT2G22850	bZIP	TFDB	3581	arath
AT2G23320	WRKY	TFDB	1342	arath
AT2G23660	LBD	TFDB	30767	arath
AT2G24260	bHLH	TFDB	3515	arath
AT2G24430	NAC	TFDB	4387	arath
AT2G24570	WRKY	TFDB	4309	arath
AT2G25000	WRKY	TFDB	9607	arath
AT2G25650	GeBP	TFDB	15362	arath
AT2G26150	HSF	TFDB	7946	arath
AT2G26580	YABBY	TFDB	6359	arath
AT2G27050	EIL	TFDB	1339	arath
AT2G27110	FAR1	TFDB	15970	arath
AT2G27300	NAC	TFDB	6274	arath
AT2G27470	NF-YB	TFDB	11637	arath
AT2G28160	bHLH	TFDB	5237	arath
AT2G28340	GATA	TFDB	18633	arath
AT2G28500	LBD	TFDB	949	arath
AT2G28510	Dof	TFDB	5280	arath
AT2G28810	Dof	TFDB	20884	arath
AT2G29060	GRAS	TFDB	250	arath
AT2G29065	GRAS	TFDB	250	arath
AT2G30130	LBD	TFDB	1174	arath
AT2G30250	WRKY	TFDB	710	arath
AT2G30340	LBD	TFDB	30308	arath
AT2G30590	WRKY	TFDB	3582	arath
AT2G31070	TCP	TFDB	30241	arath
AT2G31210	bHLH	TFDB	3545	arath
AT2G31215	bHLH	TFDB	30588	arath
AT2G31220	bHLH	TFDB	3545	arath
AT2G31280	bHLH	TFDB	4373	arath
AT2G31310	LBD	TFDB	30285	arath
AT2G31370	bZIP	TFDB	3506	arath
AT2G31730	bHLH	TFDB	2316	arath
AT2G32250	FAR1	TFDB	20	arath
AT2G33480	NAC	TFDB	30155	arath
AT2G33550	Trihelix	TFDB	5163	arath
AT2G33810	SBP	TFDB	4367	arath
AT2G34140	Dof	TFDB	4252	arath
AT2G34720	NF-YA	TFDB	3571	arath
AT2G34820	bHLH	TFDB	6400	arath
AT2G34830	WRKY	TFDB	3556	arath
AT2G35530	bZIP	TFDB	3002	arath
AT2G35550	BBR-BPC	TFDB	15355	arath
AT2G35640	Trihelix	TFDB	11751	arath
AT2G36010	E2F/DP	TFDB	844	arath
AT2G36270	bZIP	TFDB	4324	arath
AT2G36340	GeBP	TFDB	15362	arath
AT2G37000	TCP	TFDB	11631	arath
AT2G37060	NF-YB	TFDB	1828	arath
AT2G37120	S1Fa-like	TFDB	3036	arath
AT2G37260	WRKY	TFDB	6259	arath
AT2G37590	Dof	TFDB	340	arath
AT2G37650	GRAS	TFDB	1059	arath
AT2G38250	Trihelix	TFDB	3652	arath
AT2G38470	WRKY	TFDB	710	arath
AT2G38880	NF-YB	TFDB	17458	arath
AT2G40200	bHLH	TFDB	5253	arath
AT2G40470	LBD	TFDB	6471	arath
AT2G40620	bZIP	TFDB	2309	arath
AT2G40740	WRKY	TFDB	6463	arath
AT2G40750	WRKY	TFDB	3516	arath
AT2G40950	bZIP	TFDB	9544	arath
AT2G41070	bZIP	TFDB	6302	arath
AT2G41130	bHLH	TFDB	7837	arath
AT2G41240	bHLH	TFDB	1320	arath
AT2G41690	HSF	TFDB	5226	arath
AT2G42200	SBP	TFDB	3643	arath
AT2G42280	bHLH	TFDB	3637	arath
AT2G42300	bHLH	TFDB	4368	arath
AT2G42380	bZIP	TFDB	5167	arath
AT2G42400	VOZ	TFDB	30327	arath
AT2G42430	LBD	TFDB	4308	arath
AT2G42440	LBD	TFDB	2568	arath
AT2G43000	NAC	TFDB	850	arath
AT2G43010	bHLH	TFDB	4238	arath
AT2G43140	bHLH	TFDB	6423	arath
AT2G43280	FAR1	TFDB	4383	arath
AT2G43500	Nin-like	TFDB	1811	arath
AT2G44730	Trihelix	TFDB	4283	arath
AT2G44745	WRKY	TFDB	7769	arath
AT2G45050	GATA	TFDB	13563	arath
AT2G45160	GRAS	TFDB	1611	arath
AT2G45190	YABBY	TFDB	1817	arath
AT2G45410	LBD	TFDB	5272	arath
AT2G45420	LBD	TFDB	4375	arath
AT2G45680	TCP	TFDB	1818	arath
AT2G45880	BES1	TFDB	6488	arath
AT2G46130	WRKY	TFDB	1814	arath
AT2G46270	bZIP	TFDB	5269	arath
AT2G46400	WRKY	TFDB	30441	arath
AT2G46510	bHLH	TFDB	30545	arath
AT2G46590	Dof	TFDB	437	arath
AT2G46770	NAC	TFDB	2317	arath
AT2G46810	bHLH	TFDB	5191	arath
AT2G46970	bHLH	TFDB	20902	arath
AT2G47070	SBP	TFDB	6489	arath
AT2G47260	WRKY	TFDB	3534	arath
AT2G47810	NF-YB	TFDB	381	arath
AT3G01080	WRKY	TFDB	33179	arath
AT3G01330	E2F/DP	TFDB	1545	arath
AT3G01600	NAC	TFDB	5862	arath
AT3G01970	WRKY	TFDB	20987	arath
AT3G02150	TCP	TFDB	3284	arath
AT3G02550	LBD	TFDB	3863	arath
AT3G02990	HSF	TFDB	10581	arath
AT3G03200	NAC	TFDB	33979	arath
AT3G03450	GRAS	TFDB	3893	arath
AT3G03760	LBD	TFDB	8874	arath
AT3G04060	NAC	TFDB	2437	arath
AT3G04070	NAC	TFDB	8786	arath
AT3G04410	NAC	TFDB	33359	arath
AT3G04420	NAC	TFDB	33241	arath
AT3G04430	NAC	TFDB	33433	arath
AT3G04670	WRKY	TFDB	20991	arath
AT3G04850	CPP	TFDB	33142	arath
AT3G04930	GeBP	TFDB	3332	arath
AT3G05690	NF-YA	TFDB	3322	arath
AT3G06120	bHLH	TFDB	12670	arath
AT3G06250	FAR1	TFDB	12488	arath
AT3G06590	bHLH	TFDB	2436	arath
AT3G06740	GATA	TFDB	5818	arath
AT3G07340	bHLH	TFDB	3350	arath
AT3G07500	FAR1	TFDB	15463	arath
AT3G09735	S1Fa-like	TFDB	3036	arath
AT3G10000	Trihelix	TFDB	2815	arath
AT3G10030	Trihelix	TFDB	10861	arath
AT3G10040	Trihelix	TFDB	5914	arath
AT3G10480	NAC	TFDB	7226	arath
AT3G10490	NAC	TFDB	7226	arath
AT3G10500	NAC	TFDB	7156	arath
AT3G10800	bZIP	TFDB	33986	arath
AT3G11090	LBD	TFDB	7244	arath
AT3G11100	Trihelix	TFDB	16054	arath
AT3G12250	bZIP	TFDB	4789	arath
AT3G12480	NF-YC	TFDB	1401	arath
AT3G12910	NAC	TFDB	850	arath
AT3G12977	NAC	TFDB	10338	arath
AT3G13840	GRAS	TFDB	8861	arath
AT3G13850	LBD	TFDB	10638	arath
AT3G14020	NF-YA	TFDB	20977	arath
AT3G14180	Trihelix	TFDB	7040	arath
AT3G15030	TCP	TFDB	6890	arath
AT3G15170	NAC	TFDB	2437	arath
AT3G15270	SBP	TFDB	2143	arath
AT3G15500	NAC	TFDB	2679	arath
AT3G15510	NAC	TFDB	5737	arath
AT3G16160	CPP	TFDB	33682	arath
AT3G16870	GATA	TFDB	33774	arath
AT3G16940	CAMTA	TFDB	3697	arath
AT3G17609	bZIP	TFDB	8918	arath
AT3G17730	NAC	TFDB	8805	arath
AT3G18400	NAC	TFDB	4880	arath
AT3G18550	TCP	TFDB	20989	arath
AT3G19290	bZIP	TFDB	860	arath
AT3G19500	bHLH	TFDB	5553	arath
AT3G19860	bHLH	TFDB	8836	arath
AT3G20640	bHLH	TFDB	4813	arath
AT3G20750	GATA	TFDB	15477	arath
AT3G20770	EIL	TFDB	1339	arath
AT3G20910	NF-YA	TFDB	33163	arath
AT3G21175	GATA	TFDB	3868	arath
AT3G21270	Dof	TFDB	3261	arath
AT3G21330	bHLH	TFDB	3314	arath
AT3G22100	bHLH	TFDB	13973	arath
AT3G22170	FAR1	TFDB	20	arath
AT3G22760	CPP	TFDB	3777	arath
AT3G22780	CPP	TFDB	3777	arath
AT3G22830	HSF	TFDB	686	arath
AT3G23210	bHLH	TFDB	6694	arath
AT3G23690	bHLH	TFDB	33358	arath
AT3G24050	GATA	TFDB	10626	arath
AT3G24140	bHLH	TFDB	10777	arath
AT3G24490	Trihelix	TFDB	14889	arath
AT3G24520	HSF	TFDB	10584	arath
AT3G24860	Trihelix	TFDB	14004	arath
AT3G25710	bHLH	TFDB	6746	arath
AT3G25990	Trihelix	TFDB	7043	arath
AT3G26620	LBD	TFDB	2448	arath
AT3G26660	LBD	TFDB	2448	arath
AT3G26744	bHLH	TFDB	3846	arath
AT3G27010	TCP	TFDB	2816	arath
AT3G27650	LBD	TFDB	3324	arath
AT3G27940	LBD	TFDB	33609	arath
AT3G28857	bHLH	TFDB	3336	arath
AT3G28917	ZF-HD	TFDB	1918	arath
AT3G28920	ZF-HD	TFDB	5829	arath
AT3G29035	NAC	TFDB	2437	arath
AT3G30530	bZIP	TFDB	833	arath
AT3G44290	NAC	TFDB	6274	arath
AT3G44350	NAC	TFDB	798	arath
AT3G44460	bZIP	TFDB	10747	arath
AT3G45150	TCP	TFDB	16700	arath
AT3G45170	GATA	TFDB	15448	arath
AT3G45610	Dof	TFDB	20988	arath
AT3G46600	GRAS	TFDB	891	arath
AT3G47500	Dof	TFDB	391	arath
AT3G47620	TCP	TFDB	1391	arath
AT3G47640	bHLH	TFDB	10555	arath
AT3G47710	bHLH	TFDB	33481	arath
AT3G47870	LBD	TFDB	16051	arath
AT3G48160	E2F/DP	TFDB	1545	arath
AT3G48590	NF-YC	TFDB	8781	arath
AT3G49530	NAC	TFDB	3282	arath
AT3G49760	bZIP	TFDB	3581	arath
AT3G49940	LBD	TFDB	3998	arath
AT3G49950	GRAS	TFDB	8760	arath
AT3G50330	bHLH	TFDB	1128	arath
AT3G50410	Dof	TFDB	9011	arath
AT3G50510	LBD	TFDB	33454	arath
AT3G50650	GRAS	TFDB	5853	arath
AT3G50750	BES1	TFDB	10735	arath
AT3G50870	GATA	TFDB	4523	arath
AT3G50890	ZF-HD	TFDB	33460	arath
AT3G51060	SRS	TFDB	12777	arath
AT3G51080	GATA	TFDB	7303	arath
AT3G51910	HSF	TFDB	1011	arath
AT3G51960	bZIP	TFDB	33214	arath
AT3G52440	Dof	TFDB	8967	arath
AT3G53340	NF-YB	TFDB	1828	arath
AT3G53370	S1Fa-like	TFDB	3036	arath
AT3G54220	GRAS	TFDB	8876	arath
AT3G54390	Trihelix	TFDB	5786	arath
AT3G54430	SRS	TFDB	4844	arath
AT3G54620	bZIP	TFDB	12030	arath
AT3G54810	GATA	TFDB	4870	arath
AT3G55210	NAC	TFDB	33352	arath
AT3G55370	Dof	TFDB	340	arath
AT3G56400	WRKY	TFDB	3516	arath
AT3G56520	NAC	TFDB	33055	arath
AT3G56530	NAC	TFDB	34044	arath
AT3G56560	NAC	TFDB	33909	arath
AT3G56660	bZIP	TFDB	9544	arath
AT3G56770	bHLH	TFDB	7837	arath
AT3G56850	bZIP	TFDB	6302	arath
AT3G56970	bHLH	TFDB	1320	arath
AT3G56980	bHLH	TFDB	1320	arath
AT3G57800	bHLH	TFDB	4368	arath
AT3G57920	SBP	TFDB	3643	arath
AT3G58120	bZIP	TFDB	5167	arath
AT3G58190	LBD	TFDB	2568	arath
AT3G58630	Trihelix	TFDB	2451	arath
AT3G58710	WRKY	TFDB	13988	arath
AT3G59060	bHLH	TFDB	4238	arath
AT3G59470	FAR1	TFDB	7243	arath
AT3G59580	Nin-like	TFDB	1811	arath
AT3G60030	SBP	TFDB	6489	arath
AT3G60530	GATA	TFDB	13563	arath
AT3G60630	GRAS	TFDB	1611	arath
AT3G61850	Dof	TFDB	437	arath
AT3G61910	NAC	TFDB	2317	arath
AT3G61950	bHLH	TFDB	5191	arath
AT3G62090	bHLH	TFDB	20902	arath
AT3G62340	WRKY	TFDB	3534	arath
AT3G62420	bZIP	TFDB	3312	arath
AT3G63350	HSF	TFDB	8969	arath
AT4G00050	bHLH	TFDB	6560	arath
AT4G00120	bHLH	TFDB	4408	arath
AT4G00130	GeBP	TFDB	606	arath
AT4G00150	GRAS	TFDB	1611	arath
AT4G00180	YABBY	TFDB	1817	arath
AT4G00210	LBD	TFDB	5272	arath
AT4G00220	LBD	TFDB	4375	arath
AT4G00232	GeBP	TFDB	15362	arath
AT4G00238	GeBP	TFDB	606	arath
AT4G00250	GeBP	TFDB	606	arath
AT4G00270	GeBP	TFDB	15362	arath
AT4G00390	GeBP	TFDB	606	arath
AT4G00480	bHLH	TFDB	31221	arath
AT4G00610	GeBP	TFDB	606	arath
AT4G00870	bHLH	TFDB	982	arath
AT4G00940	Dof	TFDB	31408	arath
AT4G01120	bZIP	TFDB	31183	arath
AT4G01250	WRKY	TFDB	4443	arath
AT4G01260	GeBP	TFDB	606	arath
AT4G01460	bHLH	TFDB	31230	arath
AT4G01520	NAC	TFDB	18655	arath
AT4G01540	NAC	TFDB	18655	arath
AT4G01550	NAC	TFDB	18655	arath
AT4G01720	WRKY	TFDB	5500	arath
AT4G02590	bHLH	TFDB	6667	arath
AT4G02640	bZIP	TFDB	12030	arath
AT4G04450	WRKY	TFDB	3732	arath
AT4G05170	bHLH	TFDB	31008	arath
AT4G06598	bZIP	TFDB	31072	arath
AT4G08250	GRAS	TFDB	5389	arath
AT4G09180	bHLH	TFDB	11980	arath
AT4G09820	bHLH	TFDB	6559	arath
AT4G10350	NAC	TFDB	10088	arath
AT4G11070	WRKY	TFDB	1220	arath
AT4G11660	HSF	TFDB	8160	arath
AT4G12020	WRKY	TFDB	30940	arath
AT4G12850	FAR1	TFDB	8113	arath
AT4G13980	HSF	TFDB	4517	arath
AT4G14410	bHLH	TFDB	6694	arath
AT4G14540	NF-YB	TFDB	777	arath
AT4G14770	CPP	TFDB	3777	arath
AT4G15090	FAR1	TFDB	20	arath
AT4G16141	GATA	TFDB	31224	arath
AT4G16150	CAMTA	TFDB	3697	arath
AT4G16430	bHLH	TFDB	8226	arath
AT4G17230	GRAS	TFDB	3765	arath
AT4G17570	GATA	TFDB	3092	arath
AT4G17750	HSF	TFDB	31555	arath
AT4G17880	bHLH	TFDB	3703	arath
AT4G17980	NAC	TFDB	4397	arath
AT4G18170	WRKY	TFDB	4505	arath
AT4G18390	TCP	TFDB	3684	arath
AT4G18870	HSF	TFDB	31083	arath
AT4G18880	HSF	TFDB	4501	arath
AT4G18890	BES1	TFDB	30911	arath
AT4G19630	HSF	TFDB	31281	arath
AT4G19990	FAR1	TFDB	20	arath
AT4G20970	bHLH	TFDB	2367	arath
AT4G21030	Dof	TFDB	16643	arath
AT4G21040	Dof	TFDB	16643	arath
AT4G21050	Dof	TFDB	16643	arath
AT4G21080	Dof	TFDB	16643	arath
AT4G21330	bHLH	TFDB	6655	arath
AT4G21340	bHLH	TFDB	31254	arath
AT4G22070	WRKY	TFDB	3732	arath
AT4G22700	LBD	TFDB	30904	arath
AT4G23550	WRKY	TFDB	8271	arath
AT4G23810	WRKY	TFDB	1220	arath
AT4G24020	Nin-like	TFDB	3685	arath
AT4G24060	Dof	TFDB	437	arath
AT4G24240	WRKY	TFDB	1342	arath
AT4G24470	GATA	TFDB	5388	arath
AT4G24660	ZF-HD	TFDB	1853	arath
AT4G25210	GeBP	TFDB	606	arath
AT4G25400	bHLH	TFDB	468	arath
AT4G25410	bHLH	TFDB	468	arath
AT4G26150	GATA	TFDB	1893	arath
AT4G26170	HRT-like	TFDB	4453	arath
AT4G26440	WRKY	TFDB	6686	arath
AT4G26640	WRKY	TFDB	1875	arath
AT4G27330	NZZ/SPL	TFDB	17470	arath
AT4G28500	NAC	TFDB	663	arath
AT4G28530	NAC	TFDB	6571	arath
AT4G28790	bHLH	TFDB	31669	arath
AT4G28800	bHLH	TFDB	2980	arath
AT4G28811	bHLH	TFDB	2980	arath
AT4G28815	bHLH	TFDB	31438	arath
AT4G29000	CPP	TFDB	3664	arath
AT4G29100	bHLH	TFDB	1196	arath
AT4G29230	NAC	TFDB	3751	arath
AT4G29930	bHLH	TFDB	1632	arath
AT4G30935	WRKY	TFDB	3745	arath
AT4G30980	bHLH	TFDB	3515	arath
AT4G31270	Trihelix	TFDB	8257	arath
