TF_ID	Family	Gene_ID	Orthogroup	Source	Species
Medtr1g084980.1	bHLH	Medtr1g084980	OG0003466	TFDB	medtr
Medtr1g086250.1	SBP	Medtr1g086250	OG0001892	TFDB	medtr
Medtr1g086790.1	WRKY	Medtr1g086790	OG0002355	TFDB	medtr
Medtr1g086970.1	GRAS	Medtr1g086970	OG0000666	TFDB	medtr
Medtr1g087040.1	bZIP	Medtr1g087040	OG0002390	TFDB	medtr
Medtr1g087190.1	NAC	Medtr1g087190	OG0001785	TFDB	medtr
Medtr1g088860.1	NF-YB	Medtr1g088860	OG0000523	TFDB	medtr
Medtr1g089830.1	GATA	Medtr1g089830	OG0014197	TFDB	medtr
Medtr1g090720.1	NAC	Medtr1g090720	OG0007276	TFDB	medtr
Medtr1g090723.1	NAC	Medtr1g090723	OG0004927	TFDB	medtr
Medtr1g091013.1	FAR1	Medtr1g091013	OG0000923	TFDB	medtr
Medtr1g093670.1	NAC	Medtr1g093670	None	TFDB	medtr
Medtr1g093680.1	NAC	Medtr1g093680	OG0004680	TFDB	medtr
Medtr1g093750.1	bHLH	Medtr1g093750	OG0005411	TFDB	medtr
Medtr1g094045.1	Trihelix	Medtr1g094045	OG0008073	TFDB	medtr
Medtr1g094085.1	bHLH	Medtr1g094085	OG0010064	TFDB	medtr
Medtr1g094930.1	GATA	Medtr1g094930	OG0004947	TFDB	medtr
Medtr1g095850.1	LBD	Medtr1g095850	OG0001866	TFDB	medtr
Medtr1g096030.1	GRAS	Medtr1g096030	OG0012062	TFDB	medtr
Medtr1g096430.1	NAC	Medtr1g096430	OG0009959	TFDB	medtr
Medtr1g097300.1	NAC	Medtr1g097300	OG0006589	TFDB	medtr
Medtr1g098590.1	bZIP	Medtr1g098590	OG0002877	TFDB	medtr
Medtr1g098870.1	Trihelix	Medtr1g098870	OG0000525	TFDB	medtr
Medtr1g098900.1	Trihelix	Medtr1g098900	OG0000525	TFDB	medtr
Medtr1g098920.1	Trihelix	Medtr1g098920	OG0006501	TFDB	medtr
Medtr1g099140.1	FAR1	Medtr1g099140	OG0002005	TFDB	medtr
Medtr1g099600.1	WRKY	Medtr1g099600	OG0003781	TFDB	medtr
Medtr1g100777.1	HSF	Medtr1g100777	OG0001564	TFDB	medtr
Medtr1g100970.1	Nin-like	Medtr1g100970	OG0003163	TFDB	medtr
Medtr1g101810.1	TCP	Medtr1g101810	OG0001251	TFDB	medtr
Medtr1g102370.1	bHLH	Medtr1g102370	OG0000788	TFDB	medtr
Medtr1g102380.1	bHLH	Medtr1g102380	OG0000788	TFDB	medtr
Medtr1g102860.1	HSF	Medtr1g102860	OG0002649	TFDB	medtr
Medtr1g103180.1	CPP	Medtr1g103180	None	TFDB	medtr
Medtr1g103230.1	CPP	Medtr1g103230	None	TFDB	medtr
Medtr1g103380.1	TCP	Medtr1g103380	OG0003953	TFDB	medtr
Medtr1g105110.1	E2F/DP	Medtr1g105110	OG0002460	TFDB	medtr
Medtr1g106420.1	LBD	Medtr1g106420	OG0000588	TFDB	medtr
Medtr1g106460.1	bHLH	Medtr1g106460	OG0000610	TFDB	medtr
Medtr1g106470.1	bHLH	Medtr1g106470	OG0000610	TFDB	medtr
Medtr1g106480.1	bHLH	Medtr1g106480	OG0000610	TFDB	medtr
Medtr1g106590.1	GRAS	Medtr1g106590	None	TFDB	medtr
Medtr1g110840.1	LBD	Medtr1g110840	OG0014650	TFDB	medtr
Medtr1g111310.1	bZIP	Medtr1g111310	OG0013557	TFDB	medtr
Medtr1g111320.1	bZIP	Medtr1g111320	OG0013557	TFDB	medtr
Medtr1g112650.1	Trihelix	Medtr1g112650	OG0004155	TFDB	medtr
Medtr1g112680.1	bHLH	Medtr1g112680	OG0001849	TFDB	medtr
Medtr1g114380.1	TCP	Medtr1g114380	OG0005166	TFDB	medtr
Medtr1g115590.1	Dof	Medtr1g115590	None	TFDB	medtr
Medtr1g116010.1	GATA	Medtr1g116010	OG0010982	TFDB	medtr
Medtr1g116790.1	bHLH	Medtr1g116790	OG0008313	TFDB	medtr
Medtr1g492790.1	Trihelix	Medtr1g492790	OG0002399	TFDB	medtr
Medtr2157s0010.1	NAC	Medtr2157s0010	OG0012225	TFDB	medtr
Medtr2g006150.1	TCP	Medtr2g006150	OG0005394	TFDB	medtr
Medtr2g006900.1	GATA	Medtr2g006900	OG0016426	TFDB	medtr
Medtr2g007810.1	ZF-HD	Medtr2g007810	None	TFDB	medtr
Medtr2g008840.1	CAMTA	Medtr2g008840	OG0007677	TFDB	medtr
Medtr2g010450.1	bHLH	Medtr2g010450	OG0000482	TFDB	medtr
Medtr2g010790.1	GeBP	Medtr2g010790	OG0000521	TFDB	medtr
Medtr2g011070.1	bHLH	Medtr2g011070	OG0001226	TFDB	medtr
Medtr2g013370.1	Dof	Medtr2g013370	OG0006387	TFDB	medtr
Medtr2g013920.1	bHLH	Medtr2g013920	OG0000593	TFDB	medtr
Medtr2g014060.1	Dof	Medtr2g014060	OG0006386	TFDB	medtr
Medtr2g014100.1	FAR1	Medtr2g014100	OG0005365	TFDB	medtr
Medtr2g014170.1	Dof	Medtr2g014170	OG0004742	TFDB	medtr
Medtr2g014200.1	SBP	Medtr2g014200	OG0000676	TFDB	medtr
Medtr2g014680.1	NAC	Medtr2g014680	OG0001028	TFDB	medtr
Medtr2g015890.1	bHLH	Medtr2g015890	OG0006358	TFDB	medtr
Medtr2g016030.1	Dof	Medtr2g016030	OG0004709	TFDB	medtr
Medtr2g016140.1	Trihelix	Medtr2g016140	OG0000646	TFDB	medtr
Medtr2g016770.1	WRKY	Medtr2g016770	OG0005449	TFDB	medtr
Medtr2g017890.1	HSF	Medtr2g017890	None	TFDB	medtr
Medtr2g020620.1	SBP	Medtr2g020620	OG0009706	TFDB	medtr
Medtr2g022280.1	bHLH	Medtr2g022280	OG0010733	TFDB	medtr
Medtr2g023340.1	NF-YC	Medtr2g023340	None	TFDB	medtr
Medtr2g023930.1	WRKY	Medtr2g023930	OG0001343	TFDB	medtr
Medtr2g024350.1	WRKY	Medtr2g024350	None	TFDB	medtr
Medtr2g024380.1	WRKY	Medtr2g024380	None	TFDB	medtr
Medtr2g026250.1	GRAS	Medtr2g026250	None	TFDB	medtr
Medtr2g026710.1	NF-YB	Medtr2g026710	OG0001554	TFDB	medtr
Medtr2g026725.1	Trihelix	Medtr2g026725	OG0009394	TFDB	medtr
Medtr2g030030.1	Dof	Medtr2g030030	None	TFDB	medtr
Medtr2g030170.1	NF-YA	Medtr2g030170	OG0004071	TFDB	medtr
Medtr2g032030.1	WRKY	Medtr2g032030	OG0004021	TFDB	medtr
Medtr2g033820.1	WRKY	Medtr2g033820	OG0016382	TFDB	medtr
Medtr2g034250.1	GRAS	Medtr2g034250	OG0000666	TFDB	medtr
Medtr2g034260.1	GRAS	Medtr2g034260	OG0000666	TFDB	medtr
Medtr2g034280.1	GRAS	Medtr2g034280	OG0000666	TFDB	medtr
Medtr2g034650.1	CAMTA	Medtr2g034650	OG0004224	TFDB	medtr
Medtr2g038040.1	bHLH	Medtr2g038040	OG0002756	TFDB	medtr
Medtr2g038720.1	GATA	Medtr2g038720	OG0001179	TFDB	medtr
Medtr2g039370.1	FAR1	Medtr2g039370	OG0002461	TFDB	medtr
Medtr2g039620.1	bHLH	Medtr2g039620	OG0007616	TFDB	medtr
Medtr2g041090.1	NF-YA	Medtr2g041090	OG0001449	TFDB	medtr
Medtr2g045360.1	WRKY	Medtr2g045360	OG0016342	TFDB	medtr
Medtr2g045630.1	bZIP	Medtr2g045630	OG0015107	TFDB	medtr
Medtr2g045670.1	bZIP	Medtr2g045670	OG0015107	TFDB	medtr
Medtr2g045700.1	bZIP	Medtr2g045700	OG0015107	TFDB	medtr
Medtr2g046550.1	SBP	Medtr2g046550	OG0001892	TFDB	medtr
Medtr2g049305.1	CPP	Medtr2g049305	None	TFDB	medtr
Medtr2g056000.1	NF-YB	Medtr2g056000	OG0005162	TFDB	medtr
Medtr2g059300.1	GATA	Medtr2g059300	None	TFDB	medtr
Medtr2g059540.1	Dof	Medtr2g059540	None	TFDB	medtr
Medtr2g062730.1	NAC	Medtr2g062730	OG0009898	TFDB	medtr
Medtr2g064090.1	NAC	Medtr2g064090	OG0010016	TFDB	medtr
Medtr2g064470.1	NAC	Medtr2g064470	OG0006787	TFDB	medtr
Medtr2g067000.1	bHLH	Medtr2g067000	OG0002871	TFDB	medtr
Medtr2g068760.1	LBD	Medtr2g068760	OG0001848	TFDB	medtr
Medtr2g068880.1	NAC	Medtr2g068880	OG0001060	TFDB	medtr
Medtr2g068920.1	NAC	Medtr2g068920	OG0001060	TFDB	medtr
Medtr2g070590.1	FAR1	Medtr2g070590	OG0000923	TFDB	medtr
Medtr2g075400.1	BES1	Medtr2g075400	OG0000203	TFDB	medtr
Medtr2g075410.1	BES1	Medtr2g075410	OG0003178	TFDB	medtr
Medtr2g075610.1	WRKY	Medtr2g075610	OG0000925	TFDB	medtr
Medtr2g075680.1	WRKY	Medtr2g075680	OG0000925	TFDB	medtr
Medtr2g075690.1	WRKY	Medtr2g075690	OG0000925	TFDB	medtr
Medtr2g075700.1	WRKY	Medtr2g075700	OG0000925	TFDB	medtr
Medtr2g075750.1	WRKY	Medtr2g075750	OG0000925	TFDB	medtr
Medtr2g076780.1	ZF-HD	Medtr2g076780	None	TFDB	medtr
Medtr2g078200.1	TCP	Medtr2g078200	None	TFDB	medtr
Medtr2g078700.1	NAC	Medtr2g078700	OG0003382	TFDB	medtr
Medtr2g078770.1	SBP	Medtr2g078770	OG0000676	TFDB	medtr
Medtr2g079990.1	NAC	Medtr2g079990	OG0003536	TFDB	medtr
Medtr2g080010.1	NAC	Medtr2g080010	OG0001469	TFDB	medtr
Medtr2g081040.1	bHLH	Medtr2g081040	None	TFDB	medtr
Medtr2g081600.1	NF-YC	Medtr2g081600	OG0009767	TFDB	medtr
Medtr2g081630.1	NF-YC	Medtr2g081630	OG0009767	TFDB	medtr
Medtr2g081820.1	bHLH	Medtr2g081820	OG0001226	TFDB	medtr
Medtr2g082090.1	GRAS	Medtr2g082090	OG0006391	TFDB	medtr
Medtr2g082640.1	bHLH	Medtr2g082640	OG0002450	TFDB	medtr
Medtr2g083870.1	WRKY	Medtr2g083870	OG0013800	TFDB	medtr
Medtr2g084280.1	bHLH	Medtr2g084280	OG0004103	TFDB	medtr
Medtr2g086340.1	bZIP	Medtr2g086340	OG0007150	TFDB	medtr
Medtr2g086390.1	bZIP	Medtr2g086390	OG0007150	TFDB	medtr
Medtr2g086420.1	bZIP	Medtr2g086420	OG0006648	TFDB	medtr
Medtr2g086690.1	NAC	Medtr2g086690	OG0000992	TFDB	medtr
Medtr2g086880.1	NAC	Medtr2g086880	OG0005826	TFDB	medtr
Medtr2g087740.1	YABBY	Medtr2g087740	OG0005521	TFDB	medtr
Medtr2g088000.1	WRKY	Medtr2g088000	OG0001343	TFDB	medtr
Medtr2g089000.1	bHLH	Medtr2g089000	OG0016469	TFDB	medtr
Medtr2g089070.1	bHLH	Medtr2g089070	OG0010754	TFDB	medtr
Medtr2g089100.1	GRAS	Medtr2g089100	OG0012097	TFDB	medtr
Medtr2g090425.1	bHLH	Medtr2g090425	OG0000593	TFDB	medtr
Medtr2g090440.1	bHLH	Medtr2g090440	OG0000593	TFDB	medtr
Medtr2g090480.1	bHLH	Medtr2g090480	OG0000593	TFDB	medtr
Medtr2g090505.1	FAR1	Medtr2g090505	OG0002005	TFDB	medtr
Medtr2g090515.1	bHLH	Medtr2g090515	None	TFDB	medtr
Medtr2g090735.1	NAC	Medtr2g090735	OG0001028	TFDB	medtr
Medtr2g090900.1	bZIP	Medtr2g090900	OG0002379	TFDB	medtr
Medtr2g090960.1	TCP	Medtr2g090960	OG0001459	TFDB	medtr
Medtr2g091190.1	bHLH	Medtr2g091190	OG0005333	TFDB	medtr
Medtr2g092960.1	Trihelix	Medtr2g092960	OG0003442	TFDB	medtr
Medtr2g093220.1	Dof	Medtr2g093220	OG0004188	TFDB	medtr
Medtr2g093310.1	LBD	Medtr2g093310	OG0001866	TFDB	medtr
Medtr2g093810.1	NAC	Medtr2g093810	OG0002226	TFDB	medtr
Medtr2g094600.1	GATA	Medtr2g094600	OG0004663	TFDB	medtr
Medtr2g094730.1	LBD	Medtr2g094730	None	TFDB	medtr
Medtr2g096740.1	Dof	Medtr2g096740	OG0000695	TFDB	medtr
Medtr2g097310.1	GRAS	Medtr2g097310	OG0000087	TFDB	medtr
Medtr2g097350.1	GRAS	Medtr2g097350	OG0000087	TFDB	medtr
Medtr2g097380.1	GRAS	Medtr2g097380	None	TFDB	medtr
Medtr2g097390.1	GRAS	Medtr2g097390	OG0000087	TFDB	medtr
Medtr2g097410.1	GRAS	Medtr2g097410	OG0000087	TFDB	medtr
Medtr2g097463.1	GRAS	Medtr2g097463	OG0000087	TFDB	medtr
Medtr2g097467.1	GRAS	Medtr2g097467	OG0000087	TFDB	medtr
Medtr2g097473.1	GRAS	Medtr2g097473	OG0000087	TFDB	medtr
Medtr2g098080.1	Trihelix	Medtr2g098080	OG0011989	TFDB	medtr
Medtr2g098310.1	bHLH	Medtr2g098310	OG0003892	TFDB	medtr
Medtr2g098450.1	EIL	Medtr2g098450	None	TFDB	medtr
Medtr2g098470.1	EIL	Medtr2g098470	OG0008058	TFDB	medtr
Medtr2g098880.1	FAR1	Medtr2g098880	OG0013544	TFDB	medtr
Medtr2g098920.1	FAR1	Medtr2g098920	OG0005885	TFDB	medtr
Medtr2g099050.1	bZIP	Medtr2g099050	OG0005632	TFDB	medtr
Medtr2g099110.1	GRAS	Medtr2g099110	OG0013573	TFDB	medtr
Medtr2g099350.1	Nin-like	Medtr2g099350	OG0003633	TFDB	medtr
Medtr2g099430.1	FAR1	Medtr2g099430	None	TFDB	medtr
Medtr2g099490.1	NF-YA	Medtr2g099490	OG0001449	TFDB	medtr
Medtr2g100020.1	LBD	Medtr2g100020	OG0004009	TFDB	medtr
Medtr2g100490.1	bHLH	Medtr2g100490	OG0006006	TFDB	medtr
Medtr2g100670.1	HSF	Medtr2g100670	None	TFDB	medtr
Medtr2g100680.1	HSF	Medtr2g100680	OG0006076	TFDB	medtr
Medtr2g101460.1	FAR1	Medtr2g101460	OG0002481	TFDB	medtr
Medtr2g101520.1	bHLH	Medtr2g101520	OG0001689	TFDB	medtr
Medtr2g102227.1	Trihelix	Medtr2g102227	OG0002984	TFDB	medtr
Medtr2g104490.1	bHLH	Medtr2g104490	OG0015566	TFDB	medtr
Medtr2g104500.1	bHLH	Medtr2g104500	None	TFDB	medtr
Medtr2g104530.1	bHLH	Medtr2g104530	None	TFDB	medtr
Medtr2g104550.1	bHLH	Medtr2g104550	OG0015566	TFDB	medtr
Medtr2g104560.1	bHLH	Medtr2g104560	OG0017477	TFDB	medtr
Medtr2g104590.1	bHLH	Medtr2g104590	OG0015076	TFDB	medtr
Medtr2g104650.1	bHLH	Medtr2g104650	OG0015076	TFDB	medtr
Medtr2g105060.1	WRKY	Medtr2g105060	OG0000953	TFDB	medtr
Medtr2g461920.1	SBP	Medtr2g461920	OG0001803	TFDB	medtr
Medtr3g005220.1	FAR1	Medtr3g005220	None	TFDB	medtr
Medtr3g005230.1	bZIP	Medtr3g005230	None	TFDB	medtr
Medtr3g006370.1	FAR1	Medtr3g006370	OG0006818	TFDB	medtr
Medtr3g008240.1	FAR1	Medtr3g008240	OG0005365	TFDB	medtr
Medtr3g009470.1	WRKY	Medtr3g009470	OG0009299	TFDB	medtr
Medtr3g010660.1	bZIP	Medtr3g010660	OG0001354	TFDB	medtr
Medtr3g010785.1	EIL	Medtr3g010785	None	TFDB	medtr
Medtr3g010790.1	EIL	Medtr3g010790	None	TFDB	medtr
Medtr3g012030.1	NF-YC	Medtr3g012030	OG0001736	TFDB	medtr
Medtr3g014280.1	Trihelix	Medtr3g014280	OG0004975	TFDB	medtr
Medtr3g014660.1	SRS	Medtr3g014660	OG0005026	TFDB	medtr
Medtr3g015530.1	FAR1	Medtr3g015530	OG0002005	TFDB	medtr
Medtr3g021320.1	GRAS	Medtr3g021320	None	TFDB	medtr
Medtr3g022005.1	GRAS	Medtr3g022005	None	TFDB	medtr
Medtr3g022580.1	GRAS	Medtr3g022580	None	TFDB	medtr
Medtr3g022830.1	GRAS	Medtr3g022830	OG0017585	TFDB	medtr
Medtr3g025340.1	GRAS	Medtr3g025340	None	TFDB	medtr
Medtr3g026050.1	TCP	Medtr3g026050	OG0000902	TFDB	medtr
Medtr3g027430.1	GRAS	Medtr3g027430	None	TFDB	medtr
Medtr3g027650.1	bHLH	Medtr3g027650	OG0007807	TFDB	medtr
Medtr3g028520.1	bHLH	Medtr3g028520	OG0007807	TFDB	medtr
Medtr3g030230.1	FAR1	Medtr3g030230	OG0002005	TFDB	medtr
Medtr3g030700.1	bHLH	Medtr3g030700	None	TFDB	medtr
Medtr3g031220.1	WRKY	Medtr3g031220	OG0001375	TFDB	medtr
Medtr3g031660.1	LBD	Medtr3g031660	OG0001512	TFDB	medtr
Medtr3g039810.1	ZF-HD	Medtr3g039810	OG0001117	TFDB	medtr
Medtr3g044820.1	bZIP	Medtr3g044820	OG0013557	TFDB	medtr
Medtr3g053270.1	GRAS	Medtr3g053270	OG0005908	TFDB	medtr
Medtr3g053330.1	WRKY	Medtr3g053330	OG0012058	TFDB	medtr
Medtr3g056100.1	WRKY	Medtr3g056100	OG0004378	TFDB	medtr
